"replist1" "replist2" "replist3" "replist4" "replist5" "replist6" "replist7" "replist8" "replist9" "replist10" "replist11" "replist12" "replist13" "replist14" "replist15" "replist16" "replist17" "replist18" "replist19" "replist20" "replist21" "replist22" "replist23" "replist24" "replist25" "replist26" "replist27" "replist28" "replist29" "replist30" "replist31" "replist32" "replist33" "replist34" "replist35" "replist36" "replist37" "replist38" "replist39" "replist40" "replist41" "replist42" "replist43" "replist44" "replist45" "replist46" "replist47" "replist48" "replist49" "replist50" "Label" "Yr" "recdev"
"12" 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 "Eggs_exp_len_Fem_GP_1" NA FALSE
"13" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "CohortGrowDev" NA FALSE
"14" 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 "FracFemale_GP_1" NA FALSE
"15" 11.4136 11.4604 11.4604 11.4604 11.4604 11.4314 11.4604 11.3294 11.388 11.4323 11.4218 11.4604 11.4604 11.4266 11.4604 11.4604 11.4604 11.2881 11.4604 11.4604 11.4314 11.4604 11.4604 11.4604 11.4265 11.4604 11.4604 11.4604 11.4604 11.4604 11.2809 11.4604 11.4218 11.4604 11.4266 11.4604 11.4604 11.4604 11.4265 11.4604 11.4604 11.4604 11.4266 11.4604 11.4265 11.4604 11.4604 11.4265 11.4604 11.4604 "SR_LN(R0)" NA FALSE
"16" 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 "SR_BH_steep" NA FALSE
"17" 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 "SR_sigmaR" NA FALSE
"18" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "SR_regime" NA FALSE
"19" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "SR_autocorr" NA FALSE
"20" 0.0495656 0.0254535 0.0254535 0.0254535 0.0254534 0.0401397 0.0254536 0.098534 0.0520898 0.0395173 0.0451751 0.0254535 0.0254535 0.0421561 0.0254535 0.0254535 0.0254534 0.123699 0.0254535 0.0254535 0.0401397 0.0254535 0.0254535 0.0254535 0.0422301 0.0254535 0.0254535 0.0254535 0.0254534 0.0254535 0.128575 0.0254535 0.0451751 0.0254535 0.0421561 0.0254534 0.0254533 0.0254535 0.0422301 0.0254535 0.0254535 0.0254535 0.0421561 0.0254534 0.0422301 0.0254535 0.0254535 0.0422301 0.0254535 0.0254536 "Main_RecrDev_1993" 1993 TRUE
"21" -0.301958 -0.304797 -0.304797 -0.304797 -0.304797 -0.302969 -0.304797 -0.295296 -0.299053 -0.302151 -0.302432 -0.304797 -0.304797 -0.300751 -0.304797 -0.304797 -0.304797 -0.298144 -0.304797 -0.304797 -0.302969 -0.304797 -0.304797 -0.304797 -0.300761 -0.304797 -0.304797 -0.304797 -0.304797 -0.304797 -0.297848 -0.304797 -0.302432 -0.304797 -0.300751 -0.304797 -0.304797 -0.304797 -0.300761 -0.304797 -0.304797 -0.304797 -0.300751 -0.304797 -0.300761 -0.304797 -0.304797 -0.300761 -0.304797 -0.304797 "Main_RecrDev_1994" 1994 TRUE
"22" 0.589877 0.585265 0.585265 0.585265 0.585265 0.58801 0.585265 0.600802 0.595224 0.587749 0.589001 0.585265 0.585265 0.588153 0.585265 0.585265 0.585265 0.609491 0.585265 0.585265 0.58801 0.585265 0.585265 0.585265 0.588169 0.585265 0.585265 0.585265 0.585265 0.585265 0.611086 0.585265 0.589001 0.585265 0.588153 0.585265 0.585265 0.585265 0.588169 0.585265 0.585265 0.585265 0.588153 0.585265 0.588169 0.585265 0.585265 0.588169 0.585265 0.585265 "Main_RecrDev_1995" 1995 TRUE
"23" 0.0661174 0.0674218 0.0674218 0.0674218 0.0674217 0.0666873 0.0674218 0.0608649 0.062109 0.0667519 0.0663993 0.0674218 0.0674218 0.0666311 0.0674218 0.0674219 0.0674219 0.0513231 0.0674218 0.0674218 0.0666873 0.0674218 0.0674218 0.0674218 0.0666269 0.0674218 0.0674218 0.0674218 0.0674218 0.0674218 0.0497582 0.0674218 0.0663993 0.0674218 0.0666311 0.0674218 0.0674218 0.0674218 0.0666269 0.0674218 0.0674218 0.0674218 0.0666311 0.0674219 0.0666269 0.0674218 0.0674218 0.0666269 0.0674218 0.0674218 "Main_RecrDev_1996" 1996 TRUE
"24" 0.403462 0.410556 0.410556 0.410556 0.410556 0.406569 0.410556 0.390251 0.406776 0.408413 0.404881 0.410556 0.410556 0.4094 0.410556 0.410556 0.410556 0.381424 0.410556 0.410556 0.406569 0.410556 0.410556 0.410556 0.409348 0.410556 0.410556 0.410556 0.410556 0.410556 0.380584 0.410556 0.404881 0.410556 0.4094 0.410556 0.410556 0.410556 0.409348 0.410556 0.410556 0.410556 0.4094 0.410556 0.409348 0.410556 0.410556 0.409348 0.410556 0.410556 "Main_RecrDev_1997" 1997 TRUE
"25" -0.239175 -0.24598 -0.24598 -0.24598 -0.24598 -0.241735 -0.24598 -0.23582 -0.253667 -0.243902 -0.240278 -0.24598 -0.24598 -0.245287 -0.24598 -0.245979 -0.24598 -0.241277 -0.24598 -0.24598 -0.241735 -0.24598 -0.24598 -0.24598 -0.245223 -0.24598 -0.24598 -0.245979 -0.245979 -0.24598 -0.242924 -0.24598 -0.240278 -0.24598 -0.245287 -0.24598 -0.24598 -0.24598 -0.245223 -0.24598 -0.24598 -0.24598 -0.245287 -0.24598 -0.245223 -0.24598 -0.24598 -0.245223 -0.24598 -0.24598 "Main_RecrDev_1998" 1998 TRUE
"26" 0.320055 0.327158 0.327158 0.327158 0.327158 0.322871 0.327158 0.303374 0.320375 0.323345 0.321378 0.327158 0.327158 0.322759 0.327158 0.327158 0.327158 0.29061 0.327158 0.327158 0.322871 0.327158 0.327158 0.327158 0.32273 0.327158 0.327158 0.327158 0.327158 0.327158 0.288458 0.327158 0.321378 0.327158 0.322759 0.327158 0.327158 0.327158 0.32273 0.327158 0.327158 0.327158 0.322759 0.327158 0.32273 0.327158 0.327158 0.32273 0.327158 0.327158 "Main_RecrDev_1999" 1999 TRUE
"27" 0.0455425 0.0480928 0.0480928 0.0480929 0.0480929 0.0467815 0.0480928 0.0412494 0.0510324 0.0479743 0.0461063 0.0480928 0.0480928 0.0489535 0.0480928 0.0480928 0.0480928 0.0363302 0.0480927 0.0480928 0.0467815 0.0480928 0.0480928 0.0480928 0.0489265 0.0480928 0.0480928 0.0480929 0.0480929 0.0480928 0.0364599 0.0480928 0.0461063 0.0480928 0.0489535 0.0480928 0.0480929 0.0480928 0.0489265 0.0480928 0.0480928 0.0480928 0.0489535 0.0480929 0.0489265 0.0480928 0.0480928 0.0489265 0.0480929 0.0480928 "Main_RecrDev_2000" 2000 TRUE
"28" 0.0205399 0.022434 0.022434 0.022434 0.022434 0.0214441 0.022434 0.0162923 0.0188942 0.0218909 0.0209681 0.022434 0.022434 0.0221483 0.022434 0.022434 0.022434 0.0138284 0.0224341 0.022434 0.0214441 0.022434 0.022434 0.022434 0.0221352 0.022434 0.022434 0.0224339 0.022434 0.022434 0.0136242 0.022434 0.0209681 0.022434 0.0221483 0.022434 0.022434 0.022434 0.0221352 0.022434 0.022434 0.022434 0.0221483 0.022434 0.0221352 0.022434 0.022434 0.0221352 0.0224339 0.022434 "Main_RecrDev_2001" 2001 TRUE
"29" -0.250447 -0.256799 -0.256799 -0.256799 -0.256799 -0.252909 -0.256799 -0.240267 -0.253417 -0.25373 -0.251573 -0.256799 -0.256799 -0.253882 -0.256799 -0.256799 -0.256799 -0.235221 -0.256799 -0.256799 -0.252909 -0.256799 -0.256799 -0.256799 -0.253847 -0.256799 -0.256799 -0.256799 -0.256799 -0.256799 -0.234214 -0.256799 -0.251573 -0.256799 -0.253882 -0.256799 -0.256799 -0.256799 -0.253847 -0.256799 -0.256799 -0.256799 -0.253882 -0.256799 -0.253847 -0.256799 -0.256799 -0.253847 -0.256799 -0.256799 "Main_RecrDev_2002" 2002 TRUE
"30" 0.229745 0.233984 0.233984 0.233984 0.233984 0.231407 0.233984 0.221188 0.231591 0.231825 0.230517 0.233984 0.233984 0.231675 0.233984 0.233984 0.233984 0.215561 0.233984 0.233984 0.231407 0.233984 0.233984 0.233984 0.231656 0.233984 0.233984 0.233984 0.233984 0.233984 0.214743 0.233984 0.230517 0.233984 0.231675 0.233984 0.233984 0.233984 0.231656 0.233984 0.233984 0.233984 0.231675 0.233984 0.231656 0.233984 0.233984 0.231656 0.233984 0.233984 "Main_RecrDev_2003" 2003 TRUE
"31" 0.243412 0.247303 0.247303 0.247303 0.247303 0.24497 0.247303 0.234124 0.238928 0.245044 0.244141 0.247303 0.247303 0.244565 0.247303 0.247303 0.247303 0.227967 0.247303 0.247303 0.24497 0.247303 0.247303 0.247303 0.244554 0.247303 0.247303 0.247303 0.247303 0.247303 0.226719 0.247303 0.244141 0.247303 0.244565 0.247303 0.247303 0.247303 0.244554 0.247303 0.247303 0.247303 0.244565 0.247303 0.244554 0.247303 0.247303 0.244554 0.247303 0.247303 "Main_RecrDev_2004" 2004 TRUE
"32" 0.399533 0.405506 0.405506 0.405506 0.405506 0.401732 0.405506 0.383316 0.397571 0.401136 0.400568 0.405506 0.405506 0.399636 0.405506 0.405506 0.405506 0.373944 0.405506 0.405506 0.401732 0.405506 0.405506 0.405506 0.39963 0.405506 0.405506 0.405506 0.405506 0.405506 0.370758 0.405506 0.400568 0.405506 0.399636 0.405506 0.405506 0.405506 0.399629 0.405506 0.405506 0.405506 0.399636 0.405506 0.399629 0.405506 0.405506 0.399629 0.405506 0.405506 "Main_RecrDev_2005" 2005 TRUE
"33" -0.143024 -0.141017 -0.141017 -0.141017 -0.141017 -0.142454 -0.141017 -0.150481 -0.151282 -0.14332 -0.142749 -0.141017 -0.141017 -0.144533 -0.141017 -0.141017 -0.141017 -0.156 -0.141017 -0.141017 -0.142454 -0.141017 -0.141017 -0.141017 -0.144525 -0.141017 -0.141017 -0.141017 -0.141017 -0.141017 -0.158719 -0.141017 -0.142749 -0.141017 -0.144533 -0.141017 -0.141017 -0.141017 -0.144525 -0.141017 -0.141017 -0.141017 -0.144533 -0.141017 -0.144525 -0.141017 -0.141017 -0.144525 -0.141017 -0.141017 "Main_RecrDev_2006" 2006 TRUE
"34" 0.0601353 0.0684415 0.0684415 0.0684415 0.0684416 0.0629183 0.0684415 0.0372381 0.0531415 0.0616504 0.0614303 0.0684415 0.0684415 0.0592023 0.0684415 0.0684415 0.0684415 0.0213617 0.0684415 0.0684415 0.0629183 0.0684415 0.0684415 0.0684415 0.0591959 0.0684415 0.0684415 0.0684415 0.0684415 0.0684415 0.0153914 0.0684415 0.0614303 0.0684415 0.0592023 0.0684415 0.0684415 0.0684415 0.0591959 0.0684415 0.0684415 0.0684415 0.0592023 0.0684415 0.0591959 0.0684415 0.0684415 0.0591959 0.0684415 0.0684415 "Main_RecrDev_2007" 2007 TRUE
"35" 0.0854722 0.0910451 0.0910451 0.0910451 0.0910451 0.0872455 0.0910451 0.0613535 0.0760389 0.0838158 0.086391 0.0910451 0.0910451 0.0790913 0.0910452 0.0910451 0.0910452 0.0399037 0.0910451 0.0910451 0.0872455 0.0910452 0.0910451 0.0910452 0.0791432 0.0910452 0.0910451 0.0910451 0.0910451 0.0910452 0.034283 0.0910451 0.0863911 0.0910451 0.0790913 0.0910452 0.0910451 0.0910451 0.0791432 0.0910451 0.0910451 0.0910451 0.0790913 0.0910451 0.0791432 0.0910451 0.0910451 0.0791432 0.0910452 0.0910452 "Main_RecrDev_2008" 2008 TRUE
"36" -0.292336 -0.284203 -0.284203 -0.284203 -0.284203 -0.28865 -0.284203 -0.305701 -0.285027 -0.286413 -0.290617 -0.284203 -0.284203 -0.285386 -0.284203 -0.284203 -0.284203 -0.320405 -0.284203 -0.284203 -0.28865 -0.284203 -0.284203 -0.284203 -0.285438 -0.284203 -0.284203 -0.284203 -0.284203 -0.284203 -0.319927 -0.284203 -0.290617 -0.284203 -0.285386 -0.284203 -0.284203 -0.284203 -0.285438 -0.284203 -0.284203 -0.284203 -0.285386 -0.284203 -0.285438 -0.284203 -0.284203 -0.285438 -0.284203 -0.284203 "Main_RecrDev_2009" 2009 TRUE
"37" 0.58967 0.604449 0.604449 0.604449 0.604449 0.596904 0.604449 0.563144 0.598388 0.60194 0.593053 0.604449 0.604449 0.605029 0.604449 0.604449 0.604449 0.542953 0.604449 0.604449 0.596904 0.604449 0.604449 0.604449 0.604917 0.604449 0.604449 0.604449 0.604449 0.604449 0.546365 0.604449 0.593053 0.604449 0.605029 0.604449 0.604449 0.604449 0.604917 0.604449 0.604449 0.604449 0.605029 0.604449 0.604917 0.604449 0.604449 0.604917 0.604449 0.604449 "Main_RecrDev_2010" 2010 TRUE
"38" -0.0325926 -0.0574456 -0.0574457 -0.0574456 -0.0574457 -0.0423066 -0.0574455 0.0312717 -0.0275545 -0.0407915 -0.0371965 -0.0574456 -0.0574456 -0.0350523 -0.0574456 -0.0574457 -0.0574457 0.0756483 -0.0574457 -0.0574456 -0.0423066 -0.0574456 -0.0574456 -0.0574456 -0.0350329 -0.0574456 -0.0574455 -0.0574456 -0.0574456 -0.0574457 0.086765 -0.0574456 -0.0371965 -0.0574456 -0.0350523 -0.0574457 -0.0574458 -0.0574456 -0.035033 -0.0574456 -0.0574456 -0.0574456 -0.0350523 -0.0574456 -0.035033 -0.0574456 -0.0574456 -0.035033 -0.0574457 -0.0574457 "Main_RecrDev_2011" 2011 TRUE
"39" 0.0779828 0.0781247 0.0781247 0.0781247 0.0781247 0.078952 0.0781247 0.0841191 0.087399 0.082029 0.0784401 0.0781247 0.0781247 0.0854418 0.0781247 0.0781247 0.0781247 0.0960634 0.0781248 0.0781247 0.078952 0.0781247 0.0781247 0.0781247 0.0853943 0.0781247 0.0781247 0.0781247 0.0781247 0.0781247 0.105055 0.0781247 0.0784401 0.0781247 0.0854418 0.0781247 0.0781247 0.0781247 0.0853944 0.0781247 0.0781247 0.0781247 0.0854418 0.0781246 0.0853944 0.0781247 0.0781247 0.0853944 0.0781247 0.0781247 "Main_RecrDev_2012" 2012 TRUE
"40" 0.040531 0.0119791 0.0119791 0.0119791 0.0119791 0.0270651 0.0119791 0.122905 0.0275616 0.0235133 0.0340019 0.0119791 0.0119791 0.0244094 0.0119791 0.0119791 0.0119791 0.205347 0.011979 0.0119791 0.0270651 0.0119791 0.0119791 0.0119791 0.0245092 0.0119791 0.0119791 0.0119791 0.0119791 0.0119791 0.207672 0.0119791 0.0340018 0.0119791 0.0244094 0.0119791 0.0119791 0.0119791 0.0245093 0.0119791 0.0119791 0.0119791 0.0244094 0.0119791 0.0245093 0.0119791 0.011979 0.0245093 0.0119791 0.0119791 "Main_RecrDev_2013" 2013 TRUE
"41" 0.710471 0.731412 0.731412 0.731412 0.731412 0.719494 0.731412 0.62679 0.704695 0.718869 0.714888 0.731412 0.731412 0.714596 0.731412 0.731412 0.731412 0.517179 0.731412 0.731412 0.719494 0.731412 0.731412 0.731412 0.714565 0.731412 0.731412 0.731412 0.731412 0.731412 0.495962 0.731412 0.714888 0.731412 0.714596 0.731412 0.731412 0.731412 0.714565 0.731412 0.731412 0.731412 0.714596 0.731412 0.714565 0.731412 0.731412 0.714565 0.731412 0.731412 "Main_RecrDev_2014" 2014 TRUE
"42" -1.04951 -0.994749 -0.994749 -0.994749 -0.994749 -1.02776 -0.994749 -1.15478 -1.0422 -1.02955 -1.03923 -0.994749 -0.994749 -1.04043 -0.994749 -0.994749 -0.994749 -1.18776 -0.994749 -0.994749 -1.02776 -0.994749 -0.994749 -0.994749 -1.04049 -0.994749 -0.994749 -0.994749 -0.994749 -0.994749 -1.19067 -0.994749 -1.03923 -0.994749 -1.04043 -0.994749 -0.994749 -0.994749 -1.04049 -0.994749 -0.994749 -0.994749 -1.04043 -0.994749 -1.04049 -0.994749 -0.994749 -1.04049 -0.994749 -0.994749 "Main_RecrDev_2015" 2015 TRUE
"43" -0.913273 -0.940336 -0.940336 -0.940336 -0.940336 -0.924506 -0.940336 -0.839773 -0.911082 -0.924284 -0.918666 -0.940336 -0.940336 -0.919497 -0.940336 -0.940336 -0.940336 -0.773245 -0.940336 -0.940336 -0.924506 -0.940336 -0.940336 -0.940336 -0.919454 -0.940336 -0.940336 -0.940336 -0.940336 -0.940336 -0.76252 -0.940336 -0.918666 -0.940336 -0.919497 -0.940336 -0.940336 -0.940336 -0.919454 -0.940336 -0.940336 -0.940336 -0.919497 -0.940336 -0.919454 -0.940336 -0.940336 -0.919454 -0.940336 -0.940336 "Main_RecrDev_2016" 2016 TRUE
"44" -0.413633 -0.424553 -0.424553 -0.424553 -0.424553 -0.418366 -0.424553 -0.389336 -0.408664 -0.419226 -0.415878 -0.424553 -0.424553 -0.418286 -0.424553 -0.424553 -0.424553 -0.369976 -0.424553 -0.424553 -0.418366 -0.424553 -0.424553 -0.424553 -0.418257 -0.424553 -0.424553 -0.424553 -0.424553 -0.424553 -0.368293 -0.424553 -0.415878 -0.424553 -0.418286 -0.424553 -0.424553 -0.424553 -0.418257 -0.424553 -0.424553 -0.424553 -0.418286 -0.424553 -0.418257 -0.424553 -0.424553 -0.418257 -0.424553 -0.424553 "Main_RecrDev_2017" 2017 TRUE
"45" -0.296165 -0.308747 -0.308747 -0.308747 -0.308747 -0.301532 -0.308747 -0.265362 -0.28987 -0.302101 -0.298722 -0.308747 -0.308747 -0.300738 -0.308747 -0.308747 -0.308747 -0.240606 -0.308747 -0.308747 -0.301532 -0.308747 -0.308747 -0.308747 -0.300705 -0.308747 -0.308747 -0.308747 -0.308747 -0.308747 -0.237141 -0.308747 -0.298722 -0.308747 -0.300738 -0.308747 -0.308747 -0.308747 -0.300705 -0.308747 -0.308747 -0.308747 -0.300738 -0.308747 -0.300705 -0.308747 -0.308747 -0.300705 -0.308747 -0.308747 "Main_RecrDev_2018" 2018 TRUE
"46" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "Late_RecrDev_2019" 2019 TRUE
"47" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "Late_RecrDev_2020" 2020 TRUE
"48" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "ForeRecr_2021" 2021 TRUE
"49" 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 "InitF_seas_1_flt_1PS_West" NA FALSE
"50" 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 "InitF_seas_1_flt_2BB_West" NA FALSE
"51" 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 1e-20 "InitF_seas_1_flt_3LL_USMX" NA FALSE
